latitude,longitude,cluster_id,price_spread
37.97438,23.730059,21,1.9000000000000057
37.97492,23.74837,3,-8.599999999999994
37.95626,23.72877,15,4.449999999999989
37.97925,23.72294,21,-7.349999999999994
37.96376,23.72874,19,-6.950000000000003
37.98088,23.72662,21,1.4500000000000028
37.99185,23.72834,16,-0.25
37.98577,23.74181,8,-0.7000000000000028
37.99715,23.72583,16,0.25
37.98766,23.73627,7,8.800000000000011
37.993599,23.764174,0,-0.6999999999999886
37.97738,23.74397,10,53.19999999999999
37.97898,23.7241,21,3.4000000000000057
37.97423,23.71936,5,-9.800000000000011
37.98088,23.72662,21,0.20000000000000284
37.99482,23.73185,-1,-15.200000000000003
37.97753986922663,23.72416055202482,21,5.099999999999994
37.98246,23.76054,0,-5.25
37.96646,23.72587,19,1.9499999999999886
37.97789,23.743877,10,46.39999999999998
37.96621,23.71229,-1,-2.25
37.98205,23.72973,-1,6.400000000000006
37.96397,23.72965,19,-9.050000000000011
37.96363,23.72223,19,6.650000000000006
38.00634,23.75111,-1,-4.5
37.98296,23.76224,0,-0.6500000000000057
37.97542,23.73225,21,-0.5
37.966366,23.727573,19,-0.15000000000000568
37.96367,23.73143,19,-13.799999999999997
37.98796,23.76327,0,-0.9500000000000028
37.97914,23.72331,21,6.599999999999994
37.97914,23.72331,21,6.25
37.97914,23.72331,21,3.8499999999999943
37.97786,23.72962,21,-1.75
37.977325,23.730145,21,-1.0
37.97269,23.72005,5,30.25
37.97604,23.75231,1,-3.3500000000000227
37.98627,23.73099,13,0.6499999999999986
37.98272,23.72202,20,-6.200000000000003
37.99318,23.72899,16,-1.1500000000000057
37.9693,23.74192,3,-0.8000000000000114
37.97517,23.73269,21,27.44999999999999
37.97652,23.7297,21,0.75
37.9683,23.72549,19,-0.5999999999999943
37.97329,23.73303,21,0.9000000000000057
37.97704,23.72653,21,3.0
37.97727,23.72103,21,-2.1499999999999986
37.97686,23.72811,21,5.75
37.97582,23.72727,21,2.75
37.98504257202149,23.764833450317383,0,-0.5
37.97784,23.72855,21,-1.4000000000000057
37.96553,23.72565,19,0.75
37.95678,23.72432,15,-5.900000000000006
38.00921,23.72895,2,0.45000000000000284
37.97828,23.72469,21,-10.599999999999994
37.99649,23.72961,17,-2.8000000000000114
37.99044,23.72056,-1,-6.200000000000003
37.978,23.72776,21,1.0
37.98005,23.72334,21,-16.0
37.96595,23.72684,19,-0.4000000000000057
37.97671,23.7309,21,10.850000000000023
37.9807,23.71504,18,1.5500000000000114
37.97457,23.71807,5,-10.199999999999989
37.99234,23.72832,16,-2.0
37.96754,23.74983,3,-2.6500000000000057
37.98788,23.73514,7,-0.5
