level,timestamp,model,prediction,real
INFO,2026-01-13 22:13:40,advanced,111.9500,155.0
INFO,2026-01-13 22:13:40,advanced,232.0500,170.0
INFO,2026-01-13 22:13:40,base,100.5518,85.0
INFO,2026-01-13 22:13:40,base,93.1021,90.0
INFO,2026-01-13 22:13:40,advanced,371.4500,425.0
INFO,2026-01-13 22:13:40,base,162.3214,185.0
INFO,2026-01-13 22:13:40,advanced,120.1000,115.0
INFO,2026-01-13 22:13:40,base,114.0519,95.0
INFO,2026-01-13 22:13:40,advanced,689.5000,655.0
INFO,2026-01-13 22:13:40,advanced,387.9000,470.0
INFO,2026-01-13 22:13:40,base,163.6998,155.0
INFO,2026-01-13 22:13:40,advanced,182.3000,265.0
INFO,2026-01-13 22:13:40,advanced,68.0500,50.0
INFO,2026-01-13 22:13:40,advanced,111.7500,85.0
INFO,2026-01-13 22:13:40,advanced,73.5000,100.0
INFO,2026-01-13 22:13:40,advanced,80.0000,50.0
INFO,2026-01-13 22:13:40,advanced,194.1500,175.0
INFO,2026-01-13 22:13:40,base,388.8066,515.0
INFO,2026-01-13 22:13:40,base,172.6576,150.0
INFO,2026-01-13 22:13:40,advanced,195.6000,145.0
INFO,2026-01-13 22:13:40,base,297.1317,405.0
INFO,2026-01-13 22:13:40,base,91.9622,100.0
INFO,2026-01-13 22:13:40,advanced,59.4500,50.0
INFO,2026-01-13 22:13:40,base,165.6830,115.0
INFO,2026-01-13 22:13:40,base,161.0677,120.0
INFO,2026-01-13 22:13:40,base,190.6878,190.0
INFO,2026-01-13 22:13:40,advanced,295.3500,195.0
INFO,2026-01-13 22:13:40,base,204.1691,180.0
INFO,2026-01-13 22:13:40,base,257.4062,245.0
INFO,2026-01-13 22:13:40,advanced,73.9500,100.0
INFO,2026-01-13 22:13:40,advanced,69.9000,80.0
INFO,2026-01-13 22:13:40,base,202.9719,230.0
INFO,2026-01-13 22:13:40,advanced,263.1000,220.0
INFO,2026-01-13 22:13:40,base,127.2578,120.0
INFO,2026-01-13 22:13:40,advanced,105.4500,205.0
INFO,2026-01-13 22:13:40,base,190.3238,125.0
INFO,2026-01-13 22:13:40,advanced,66.2500,70.0
INFO,2026-01-13 22:13:40,advanced,93.8000,125.0
INFO,2026-01-13 22:13:40,base,78.7084,70.0
INFO,2026-01-13 22:13:40,advanced,175.7500,295.0
INFO,2026-01-13 22:13:40,advanced,413.1000,450.0
INFO,2026-01-13 22:13:40,advanced,121.6000,120.0
INFO,2026-01-13 22:13:40,advanced,158.1000,110.0
INFO,2026-01-13 22:13:40,base,232.1437,235.0
INFO,2026-01-13 22:13:40,base,244.9774,205.0
INFO,2026-01-13 22:13:40,advanced,113.5000,130.0
INFO,2026-01-13 22:13:40,advanced,124.0500,135.0
INFO,2026-01-13 22:13:40,advanced,313.5000,220.0
INFO,2026-01-13 22:13:40,advanced,263.8000,240.0
INFO,2026-01-13 22:13:40,base,475.0491,470.0
INFO,2026-01-13 22:13:40,advanced,117.5500,115.0
INFO,2026-01-13 22:13:40,base,149.9101,120.0
INFO,2026-01-13 22:13:40,base,130.9629,290.0
INFO,2026-01-13 22:13:40,advanced,316.5000,245.0
INFO,2026-01-13 22:13:40,advanced,184.4000,140.0
INFO,2026-01-13 22:13:40,base,271.6776,220.0
INFO,2026-01-13 22:13:40,advanced,69.3000,65.0
INFO,2026-01-13 22:13:40,base,139.8235,110.0
INFO,2026-01-13 22:13:40,advanced,431.8500,415.0
INFO,2026-01-13 22:13:40,advanced,114.1000,110.0
INFO,2026-01-13 22:13:40,advanced,175.5000,130.0
INFO,2026-01-13 22:13:40,advanced,277.6500,335.0
INFO,2026-01-13 22:13:40,base,179.4904,165.0
INFO,2026-01-13 22:13:40,advanced,61.4000,50.0
INFO,2026-01-13 22:13:40,advanced,168.4500,145.0
INFO,2026-01-13 22:13:40,advanced,173.4000,170.0
INFO,2026-01-13 22:13:40,advanced,85.7500,80.0
INFO,2026-01-13 22:13:40,base,204.5983,255.0
INFO,2026-01-13 22:13:40,advanced,254.6000,375.0
INFO,2026-01-13 22:13:40,base,239.9576,140.0
INFO,2026-01-13 22:13:40,advanced,111.1000,115.0
INFO,2026-01-13 22:13:40,advanced,211.9500,220.0
INFO,2026-01-13 22:13:40,base,120.0645,130.0
INFO,2026-01-13 22:13:40,advanced,111.1500,115.0
INFO,2026-01-13 22:13:40,base,91.8002,65.0
INFO,2026-01-13 22:13:40,advanced,177.5500,155.0
INFO,2026-01-13 22:13:40,base,109.1197,115.0
INFO,2026-01-13 22:13:40,advanced,263.6000,280.0
INFO,2026-01-13 22:13:40,base,72.3463,85.0
INFO,2026-01-13 22:13:40,base,197.1680,270.0
INFO,2026-01-13 22:13:40,advanced,170.8500,130.0
INFO,2026-01-13 22:13:40,base,268.2608,345.0
INFO,2026-01-13 22:13:40,base,179.8808,170.0
INFO,2026-01-13 22:13:40,advanced,85.7000,170.0
INFO,2026-01-13 22:13:40,advanced,543.5500,510.0
INFO,2026-01-13 22:13:40,advanced,140.9000,80.0
INFO,2026-01-13 22:13:40,base,264.6507,275.0
INFO,2026-01-13 22:13:40,advanced,73.5000,95.0
INFO,2026-01-13 22:13:40,base,208.0188,200.0
INFO,2026-01-13 22:13:40,advanced,173.4000,125.0
INFO,2026-01-13 22:13:40,base,80.1062,95.0
INFO,2026-01-13 22:13:40,advanced,223.7000,145.0
INFO,2026-01-13 22:13:40,base,101.1540,70.0
INFO,2026-01-13 22:13:40,advanced,77.2000,85.0
INFO,2026-01-13 22:13:40,base,139.1165,85.0
INFO,2026-01-13 22:13:40,base,114.0927,95.0
INFO,2026-01-13 22:13:40,base,119.4380,70.0
INFO,2026-01-13 22:13:40,advanced,162.7000,195.0
INFO,2026-01-13 22:13:40,advanced,243.9000,300.0
INFO,2026-01-13 22:13:40,base,172.3223,180.0
INFO,2026-01-13 22:13:40,advanced,146.9000,115.0
INFO,2026-01-13 22:13:40,advanced,183.3500,115.0
INFO,2026-01-13 22:13:40,advanced,137.0500,270.0
INFO,2026-01-13 22:13:40,advanced,70.9000,75.0
INFO,2026-01-13 22:13:40,advanced,180.5500,215.0
INFO,2026-01-13 22:13:40,base,196.1525,205.0
INFO,2026-01-13 22:13:40,base,136.5311,110.0
INFO,2026-01-13 22:13:40,advanced,155.2000,220.0
INFO,2026-01-13 22:13:40,advanced,106.4500,85.0
INFO,2026-01-13 22:13:40,base,187.3628,160.0
INFO,2026-01-13 22:13:40,advanced,249.1000,215.0
INFO,2026-01-13 22:13:40,advanced,147.0500,120.0
INFO,2026-01-13 22:13:40,base,83.9228,105.0
INFO,2026-01-13 22:13:40,advanced,148.8500,80.0
INFO,2026-01-13 22:13:40,base,91.0257,75.0
INFO,2026-01-13 22:13:40,advanced,199.4000,195.0
INFO,2026-01-13 22:13:40,advanced,162.8000,165.0
INFO,2026-01-13 22:13:40,base,142.7480,105.0
INFO,2026-01-13 22:13:40,advanced,175.3000,125.0
INFO,2026-01-13 22:13:40,base,210.6465,230.0
INFO,2026-01-13 22:13:40,base,183.9991,160.0
INFO,2026-01-13 22:13:40,advanced,79.4500,100.0
INFO,2026-01-13 22:13:40,advanced,243.3500,220.0
INFO,2026-01-13 22:13:40,base,53.1752,60.0
INFO,2026-01-13 22:13:40,base,75.1527,45.0
INFO,2026-01-13 22:13:40,advanced,244.3000,170.0
INFO,2026-01-13 22:13:40,advanced,182.6500,110.0
INFO,2026-01-13 22:13:40,advanced,215.0500,130.0
INFO,2026-01-13 22:13:40,base,227.0052,280.0
INFO,2026-01-13 22:13:40,base,550.8931,715.0
INFO,2026-01-13 22:13:40,advanced,150.5000,115.0
INFO,2026-01-13 22:13:40,advanced,154.9500,125.0
INFO,2026-01-13 22:13:40,base,87.0722,105.0
INFO,2026-01-13 22:13:40,advanced,176.9500,150.0
INFO,2026-01-13 22:13:41,base,121.7587,115.0
INFO,2026-01-13 22:13:41,base,233.4953,175.0
INFO,2026-01-13 22:13:41,base,170.3388,130.0
INFO,2026-01-13 22:13:41,advanced,216.3500,170.0
INFO,2026-01-13 22:13:41,base,153.5966,125.0
INFO,2026-01-13 22:13:41,advanced,109.3500,95.0
INFO,2026-01-13 22:13:41,advanced,91.9000,80.0
INFO,2026-01-13 22:13:41,base,202.7763,220.0
INFO,2026-01-13 22:13:41,advanced,150.2000,115.0
INFO,2026-01-13 22:13:41,advanced,85.4500,80.0
INFO,2026-01-13 22:13:41,base,175.4692,100.0
INFO,2026-01-13 22:13:41,advanced,123.0000,185.0
INFO,2026-01-13 22:13:41,base,181.5546,225.0
